"1";"404 Sida inte hittad";""
"2";"Tillåt debug anrop";""
"3";"Privat Server";""
"4";"Vit-lista";""
"5";"Svart-lista";""
"6";"Administratör";""
"7";"Max luckor";""
"8";"Start platser";""
"9";"Rykte";""
"10";"Använd avfall";""
"11";"Nätverks konfiguration";""
"12";"Offentliga servrar";""
"13";"IP adress";""
"14";"Spel serverport";""
"15";"Web serverport";""
"16";"Värde";""
"17";"Server utforskar service";""
"18";"SPARA";""
"19";"Orsak & påverkan utforskare";""
"20";"Välj kategori";""
"21";"Välj lager";""
"22";"Kartor som visar 400 kvadratmeter centrerar på 50,50";"50"
"23";"Eco val";""
"24";"Välj ett val från menyn eller så kan du ha en valkampanj";""
"25";"Kandidater";""
"26";"Korade ämbetsmän får 15 egendoms inmutningar";""
"27";"När en statskassa är byggd, kan de lägga skatt(funktion i utveckling)";" they can set taxes (feature in progress)"
"28";"Detta val använder";""
"29";"Direkt Avröstning";""
"30";"Sänd röst";""
"31";"Försök bli borgmästare";""
"32";"Ta bort dig själv";""
"33";"Nuvarande resultat";""
"34";"Ingen har röstat ännu";""
"35";"Röster per runda";""
"36";"Se alla röster";""
"37";"Diskussion";""
"38";"Dag";""
"39";"Skriv ditt svar";""
"40";"Ta bort graf";""
"41";"Ta bort karta";""
"42";"Skicka";""
"43";"Avbryt";""
"44";"För att starta ett ny val, du måste tillägga dig själv som kandidat";" you must add yourself as a candidate"
"45";"Var god förklara, varför du borde bli vald";""
"46";"Skriv ditt tal";""
"49";"Vetenskaplig data";""
"50";"Orsak & effekt";""
"51";"Försök bli borgmästare";""
"52";"Nuvarande val";""
"53";"Föregående val";""
"56";"Aktiva lagar";""
"57";"Förslagna lagar";""
"59";"Välj kartlager";""
"60";"Data";""
"61";"Graf";""
"62";"Linjer";""
"63";"Staplar";""
"64";"Dag";""
"65";"Se globala effekten som formar denna värld och hur de påverkar varandra";""
"66";"Välj en kategori ovan och Använd tidslinjen längst ned för att bläddra genom historiken";""
"67";"Orsak & påverkan utforskare";""
"68";"Användare konfiguration";""
"69";"Kräv autentisering";""
"70";"dagar/sekund";""
"71";"Spel händelser";""
"72";"Eco lagar";""
"73";"Välj en lag från menyn";""
"74";"Lag Information";""
"75";"Resonemang";""
"76";"Nuvarande resultat";""
"77";"Denna lag antogs";""
"78";"Ja";""
"79";"Nej";""
"80";"Lägga till graf";""
"81";"Lägg till karta";""
"82";"Avbryt";""
"83";"Namnet på lagen";""
"84";"Lägg till distrikt";""
"85";"Ta bort distrikt";""
"86";"Lägg till ny distrikt";""
"87";"Håll höger klick för att rita distrikt";""
"88";"Resonemang";""
"89";"Föreslå lag";""
"90";"Lager välj dropdown";""
"91";"Terräng";""
"92";"Temperatur";""
"93";"Höjd";""
"94";"unity kunde skicka en fullständig lista med alternativ till listmenyn senare";""
"95";"Lagret vald efter namn eller nummer";""
"96";"Argument över lagar går här, kartor kan storleksändras för att passa med text bättre senare";" maps can be resized to fit with text better later"
"97";"Student framsteg";""
"98";"Det finns inga distrikt lagade ännu";""
"99";"Aktiva distrikt";""
"100";"Kandidat ranker för varje år";""
"101";"Inga aktiva lagar";""
"102";"Inga föreslagna lagar";""
"103";"Spelare online";""
"104";"Tid";""
"105";"Meteor kollision";""
"106";"Växter";""
"107";"Världs storlek";""
"108";"Förhandsgjorda grafer";""
"109";"Mina sparade grafer";""
"110";"Okej";""
"111";"Gör något...";""
"112";"Lite information för dig att läsa!";""
"113";"Dataset";""
"114";"Töm kategorier";""
"115";"Kurvor";""
"116";"Paj";""
"117";"Laddar";""
"118";"Populationer";""
"119";"Spelare skicklighets framsteg";""
"120";"Populations framsteg";""
"121";"En graf med den titeln finns redan! Välj en unik titel för din graf.";""
"122";"Vänligen, lägga till en dataset till din graf före du sparar.";""
"123";"Graf kopierad. Skriv ett unikt namn och spara det.";""
"124";"Vill du spara dina ändringar för du fortsätter?";""
"125";"Spara inte";""
"126";"Server";""
"127";"Användare";""
"128";"Radera förslag";""
"129";"Ranka kandidaterna från bäst till sämst.";""
"130";"Uppdatera röstning";""
"131";"Runda";""
"132";"Totalt";""
"133";"Kandidat rankning";""
"134";"Alla röster";""
"135";"Röstare";""
"136";"Aktuella händelser";""
"137";"Statlig aktivitet";""
"138";"Användaraktivitet";""
"139";"Medborgaraktivitet";""
"140";"Inga tidigare val";""
"141";"Server version";""
"142";"Klausul";""
"143";"tim";""
"144";"min";""
"145";"sek";""
"147";"Projicerat resultat";""
"148";"Rösta";""
"149";"Röster";""
"150";"Röstningen avslutas om";""
"151";"Titel";""
"152";"Vinnare";""
"153";"Avslutats";""
"154";"sedan";""
"155";"dagar";""
"156";"tim";""
"157";"min";""
"158";"senaste timmen";""
"159";"Vinnaren var";""
"160";"Lag";""
"161";"Jämför";""
"162";"Vald kandidat";""
"163";"Pågående Val";""
"164";"Inga pågående val";""
"165";"Vald kandidat";""
"167";"Titelinnehavare";""
"168";"Status";""
"169";"Val info";""
"170";"Från";""
"171";"Lämnar in";""
"172";"Din röst har blivit räknad";""
"173";"Röstande kommer att sluta i";""
"174";"val";""
"175";"Inga aktiva titlar";""
